ID ,Gender ,Ever_Married ,Age ,Graduated ,Profession ,Work_Experience ,Spending_Score ,Family_Size ,Var_1 ,Segmentation 
460116,Male ,Yes ,37,Yes ,Entertainment ,5,Low ,2,Cat_6 ,A 
464633,Male ,No ,29,No ,Healthcare ,0,Low ,5,Cat_4 ,D 
465790,Female ,Yes ,47,Yes ,Engineer ,5,Average ,4,Cat_6 ,B 
465688,Female ,No ,42,Yes ,Artist ,6,Low ,4,Cat_2 ,C 
459852,Male ,Yes ,45,Yes ,Artist ,0,Low ,2,Cat_6 ,A 
459907,Female ,No ,49,Yes ,Artist ,0,Low ,1,Cat_6 ,B 
461739,Male ,No ,53,Yes ,Artist ,0,Low ,1,Cat_6 ,A 
459119,Female ,No ,22,No ,Healthcare ,1,Low ,3,Cat_6 ,D 
460232,Male ,No ,31,Yes ,Healthcare ,8,Low ,5,Cat_1 ,D 
462932,Female ,Yes ,45,Yes ,Engineer ,2,Low ,1,Cat_6 ,A 
464193,Male ,Yes ,80,No ,Executive ,0,Low ,1,Cat_4 ,A 
459128,Male ,Yes ,28,Yes ,Doctor ,0,Average ,2,Cat_1 ,D 
460593,Female ,Yes ,50,No ,Artist ,- ,Low ,4,Cat_3 ,C 
462208,Male ,Yes ,42,Yes ,Artist ,7,Low ,1,Cat_6 ,C 
460776,Male ,Yes ,72,No ,Executive ,0,High ,4,Cat_6 ,B 
466755,Male ,Yes ,42,Yes ,Artist ,1,Low ,3,Cat_6 ,B 
461601,Female ,No ,39,Yes ,Artist ,6,Low ,3,Cat_2 ,C 
466310,Female ,No ,49,No ,Entertainment ,8,Low ,1,Cat_3 ,D 
466634,Female ,Yes ,40,Yes ,Artist ,6,Average ,3,Cat_7 ,C 
463435,Male ,No ,19,No ,Healthcare ,- ,Low ,3,Cat_3 ,D 
459096,Male ,Yes ,37,Yes ,Entertainment ,9,Average ,2,Cat_6 ,A 
466063,Female ,Yes ,89,No ,Lawyer ,8,Low ,1,Cat_3 ,D 
459159,Female ,Yes ,63,Yes ,Doctor ,2,Average ,- ,Cat_6 ,C 
461482,Female ,No ,31,Yes ,Doctor ,9,Low ,5,Cat_6 ,D 
460792,Male ,Yes ,61,Yes ,Entertainment ,0,Average ,4,Cat_6 ,D 
464943,Female ,Yes ,35,No ,Artist ,- ,Low ,4,Cat_4 ,A 
463571,Female ,No ,31,No ,Engineer ,0,Low ,5,Cat_3 ,A 
461798,Male ,Yes ,53,Yes ,Artist ,1,Average ,4,Cat_6 ,B 
460847,Male ,Yes ,71,No ,Lawyer ,8,Low ,1,Cat_2 ,D 
459688,Male ,Yes ,38,Yes ,Executive ,- ,Average ,3,Cat_6 ,C 
462334,Male ,Yes ,73,Yes ,Executive ,1,High ,2,Cat_6 ,C 
